AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.5999999999999999,0.55,0.55,0.55,0.6,QC,Q_1body,,,
0.5000000000000001,0.6590909090909092,0.7083333333333333,0.65,0.7333333333333333,QC,Q_1body,,,
0.6199999999999999,0.5341614906832298,0.5961538461538461,0.55,0.6666666666666666,QC,Q_1body,,,
0.5750000000000001,0.65,0.65,0.65,0.7142857142857143,QC,Q_1body,,,
0.575,0.36363636363636365,0.3333333333333333,0.4,0.5714285714285714,QC,Q_1body,,,
0.625,0.5906432748538011,0.5888888888888889,0.6,0.6428571428571429,QC,Q_1body,,,
0.525,0.5333333333333333,0.5416666666666666,0.55,0.5714285714285714,QC,Q_1body,,,
0.6222222222222222,0.6888888888888889,0.6888888888888889,0.6888888888888889,0.7142857142857143,QC,Q_1body,,,
0.5777777777777777,0.5625,0.5714285714285714,0.5777777777777777,0.5714285714285714,QC,Q_1body,,,
0.5555555555555556,0.5757575757575758,0.8461538461538461,0.6,0.7142857142857143,QC,Q_1body,,,
0.6444444444444445,0.641025641025641,0.6666666666666667,0.6777777777777778,0.6428571428571429,QC,Q_1body,,,
0.33333333333333337,0.2631578947368421,0.25,0.2777777777777778,0.35714285714285715,QC,Q_1body,,,
0.6,0.5833333333333333,0.5892857142857143,0.6,0.6,QC,Q_1body,,,
0.6000000000000001,0.7,0.7,0.7,0.7333333333333333,QC,Q_1body,,,
0.5,0.4444444444444444,0.4431818181818182,0.44999999999999996,0.5333333333333333,QC,Q_1body,,,
0.575,0.475,0.475,0.475,0.5714285714285714,QC,Q_1body,,,
0.7,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_1body,,,
0.47500000000000003,0.391304347826087,0.34615384615384615,0.45,0.6428571428571429,QC,Q_1body,,,
0.7,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_1body,,,
0.6666666666666667,0.6888888888888889,0.6888888888888889,0.6888888888888889,0.7142857142857143,QC,Q_1body,,,
0.6222222222222222,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5714285714285714,QC,Q_1body,,,
0.7333333333333333,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_1body,,,
